<new sheet>
sheet_name: 3.02
,Rs. million,,,,,,,,,
,Year,Tax Revenue,,,Non-Tax Revenue,Total Revenue,Direct tax / Total Tax (%),Indirect tax / Total Tax (%),Total Tax / Total Revenue (%),Non tax / Total Revenue (%)
,,Direct Tax,Indirect Tax,Total,,,,,,
,1990,7335,53871,61206,6758,67964,11.984119203999608,88.01588079600039,90.05650050026485,9.943499499735154
,1991,9722,58435,68157,8022,76179,14.264125475006237,85.73587452499376,89.46953884928918,10.530461150710826
,1992,10965,65388,76353,9428,85781,14.360928843660368,85.63907115633963,89.00922115620008,10.990778843799909
,1993,12543,73348,85891,12448,98339,14.60339267210767,85.39660732789233,87.34174640783412,12.658253592165874
,1994,15277,84140,99417,10621,110038,15.366587203395799,84.6334127966042,90.34787982333376,9.652120176666243
,1995,17161,101382,118543,17715,136258,14.476603426604692,85.5233965733953,86.99892850328054,13.001071496719458
,1996,20751,109451,130202,16077,146279,15.93754320210135,84.06245679789865,89.00935882799308,10.990641172006917
,1997,21548,120964,142512,22524,165036,15.120130234646906,84.87986976535309,86.35206863956955,13.647931360430452
,1998,20429,126939,147368,27664,175032,13.862575321643778,86.13742467835623,84.19489007724302,15.805109922756982
,1999,28228,137801,166029,29876,195905,17.001849074559264,82.99815092544074,84.7497511548965,15.250248845103496
,2000,27457,154935,182392,28890,211282,15.053840080705294,84.9461599192947,86.32633163260476,13.673668367395234
,2001,34636,171204,205840,28456,234296,16.82666148464827,83.17333851535173,87.85467955065387,12.145320449346126
,2002,37437,184402,221839,40050,261888,16.87575223472879,83.1242477652712,84.70758492179863,15.292796920821115
,2003,39397,192200,231597,44868,276465,17.011014823162647,82.98898517683735,83.77082089957138,16.229179100428624
,2004,41372,240180,281552,29921,311473,14.694266068079786,85.30573393192022,90.3937098881765,9.606290111823498
,2005,52535,284293,336828,42919,379746,15.596981248589783,84.40301875141022,88.6982351361173,11.30202819779537
,2006,79693,348685,428378,49455,477833,18.60342968126281,81.39657031873719,89.65014973850697,10.349850261493032
,2007,107168,401779,508947,56104,565051,21.056809451671786,78.94319054832822,90.07098474297011,9.929015257029898
,2008,126541,459079.5,585620.5,69638.5,655259,21.608020894077306,78.39197910592269,89.37237031463894,10.627629685361056
,2009,139558,479375,618933,80711,699644,22.54815949383859,77.4518405061614,88.4639902579026,11.53600974209741
,2010,135623,589124,724747,92548.5,817279,18.713150934050088,81.28684906594991,88.67804017966937,11.323978714735116
,2011,157310,688387,845697,122164.68156609,967862,18.6012247885472,81.3987752114528,87.37784932149418,12.622117777750342
,2012,172563,736350,908913,142546.91308658,1051460,18.985645490822552,81.01435450917745,86.44294599889677,13.557045735128298
,2013,205666,800229,1005895,131552.11814331,1137447,20.446070414904142,79.55392958509586,88.43445013262156,11.565560254087444
,2014,198115,852247,1050362,144844,1195206,18.86159247954515,81.13840752045485,87.88125226948326,12.118747730516748
,2015,262583.38822858,1093196.0972298803,1355779.4854584602,99098.94501368,1454878.4304721402,19.367706256433493,80.63229374356652,93.18850682379556,6.811493176204434
,2016,258856.78600346,1204832.07465536,1463688.86065882,222373.60884292002,1686062.46950174,17.685233041053966,82.31476695894604,86.81106940784731,13.188930592152683
,2017,274561.56459598,1395616.6548922001,1670178.21948818,161352.5447107,1831530.76419888,16.43905790366003,83.56094209633997,91.19029022800629,8.80970977199372
,2018,310449.3148541,1401868.2230810001,1712317.5379351,207655.85415250002,1919973.3920876,18.130358883579138,81.86964111642087,89.18444104442956,10.815558955570438
,2019 (a),427700,1307225,1734925,155974,1890899,24.65236249405594,75.34763750594406,91.75133098066051,8.248669019339488
,2020,268249,948293.3999999999,1216542.4,151417.4,1367959.7999999998,22.050115146007244,77.94988485399276,88.93115133938878,11.068848660611224
,2021 (b),302115.19904678996,995903.86090502,1298019.05995181,159051.74209578,1457070.80204759,23.275097290020245,76.72490270997976,89.08414458156267,10.915855418437332
,,,,,,,,,,"Sources:  Ministry of Finance, Economic Stabilisation & National Policies"
,,,,,,,,,,Central Bank of Sri Lanka
,"(a) According to the Ministry of Finance, the fiscal sector statistics of 2019 have been restated as announced in the Budget Speech for 2020.",,,,,,,,,
,(b) Provisional,,,,,,,,,

