<new sheet>
sheet_name: Table 3.1
,2012,908913,1051460,16071,1067532,1131023,425476,1556499,-79563,-80469.21503102989,-488967,286455,202511,0,488967,11.875581499872197,17.315016741639084,-5.43943524176689
,2013,1005895,1137447,15859,1153306,1205180,464216,1669396,-67733,-72083.37752047088,-516090,123700,392390,0,516090,11.60455311578147,16.79745032525207,-5.192897209470597
,2014,1050362,1195206,9415,1204621,1322898,472967,1795865,-127692,-154849,-591244,212523,378721,0,591244,11.179453173845454,16.6664799828267,-5.487026808981249
,2015,1355779.4854584602,1454878.4304721402,6013.85666863,1460892.2871407701,1701657.6195681915,588736.5444125106,2290394.163980702,-246779.18909605127,-319827.52137309185,-829501.8768399318,236802.61025995837,592699.1237104316,0,829501.7339703899,12.6,19.801129035080006,-7.2
,2016,1463688.86065882,1686062.46950174,7495.97331439,1693558.4428161301,1757781.81250844,576101.4280844695,2333883.2405929095,-71719.34300670004,-29430.226898069493,-640324.7977767794,391913.75703601737,248411.04074076217,0,640324.7977767795,13.2,18.21499878516043,-5
,2017,1670178.21948818,1831530.76419888,8031.08750874,1839561.8517076198,1927692.9370113902,645363.4072700513,2573056.3442814415,-96162.17281251028,2071.1841370982584,-733494.4925738217,439243.4979454645,294250.99462835543,0,733494.4925738199,12.8,17.88419610548318,-5.1
,2018,1712317.5379351,1919973.3920876,12485.51983493,1932458.91192253,2089713.2958822697,603514.9625286001,2693228.25841087,-169739.90379466978,91420.69999820995,-760769.3464883401,323535.16561133304,437233.83438866696,0,760769,12.6,17.543251774293637,-5
,2019 (b),1734925,1890899,7909,1898808,2424582,913314,3337896,-533683,-537736,-1439088,542641,896448,0,1439089,11.9,20.97857227614447,-9
,2020,1216542,1367960,5348,1373308,2548359,492637,3040996,-1180399,-687386,-1667688,-83199,1750887,0,1667688,8.7,19.2,-10.5
,2021 (c),1298019.05995181,1457070.80204759,6739.54525183,1463810.34729942,2747512.1398809,774222.99260701,3521735.13248791,-1290441.3378333098,-1009542.3446733399,-2057924.7851884898,-13901,2071826,0,2057925,8.3,19.9,-11.6
,,,,,,,,,,,,,,,,,,"Sources: Ministry of Finance, Economic Stabilisation & National Policies"
,,,,,,,,,,,,,,,,,,Central Bank of Sri Lanka

,(a) Rebased (2015 prices) estimates of GDP published by the Department of Census and Statistics on 28 June 2022 are used from 2010,,,,,,,,,,,,,,,,,
,"(b) According to the Ministry of Finance, the fiscal sector statistics of 2019 have been restated as announced in the Budget Speech for 2020.",,,,,,,,,,,,,,,,,
,(c) Provisional,,,,,,,,,,,,,,,,,

