<new sheet>
sheet_name: 4.06
,4.06 Assets and Liabilities of the Central Bank - Monthly,,,,,,,,,,,,,,

,ASSETS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Rs. Million,,
,End of period,A S S E T S,,,,,,,,,,,,,

,,International Reserves,,,,,,Domestic Assets,,,,Total Assets and Liabilities,International Reserve as a Percentage of Currency and Deposit Liabilities,,
,,Cash and Bank Balances Abroad Including Treasury Bills,Foreign Government and non Governmental securities            (a) (b),Special Drawing Rights,IMF Related Assets                    (c),Receivables              (d),Total,Loans and Advances to,,Government and Government Guaranteed Securities                    (f) ,Other Assets and Accounts ,,,,
,,,,,,,,Government ,Others                         (e),,,,percentage of Curresncy and Deposit Liabilities,,
,Dec,661691.18648648,10867.42513,626.46073688,280765.08200482,37080.44935977,991030.6037179499,235638.7004,28216.696708030002,3197064.233532,58396.86753328983,4510347.10189127,25.060290708397847,,
,2023 Jan,736376.9919764601,10983.725096,7811.4548437799995,283673.12269350997,36938.524292300004,1075783.8189020501,335858.7004,26197.0908152,3074250.071918,59212.911886099726,4571302.59392135,25.577830590852223,,
,Feb,811964.5690157099,11113.550031,624.32641528,279140.6884665,35277.71563287,1138120.84956136,344637.7004,211724.50835055,2811744.663055,60209.045015378855,4566436.766382289,27.4889012513795,,
,Mar ,841426.11874314,11614.17570223,9299.7750197,255755.55312794002,29629.434802509997,1147725.0573955202,344664.3004,182445.23273289003,2864860.330654,66374.34876155946,4606069.269943969,29.995210189127448,,
,Apr,835508.8267535999,11288.27447628,9146.29515697,251683.29466165,28818.93982098,1136445.6308694798,344660.7004,147216.93190502,2870472.423128,65779.97130888887,4564575.657611389,30.342495943003634,,
,May,1041758.71903149,11309.02879369,1292.29260409,227883.51350875,22520.348405519995,1304763.90234354,343929.7004,123461.97637,2780210.16764,67019.9627401866,4619385.7094937265,33.96236453986191,,
,Jun,1085346.7431260599,29528.29940612,1353.14709156,238614.62414847998,24598.9615161,1379441.77528832,343114.0004,124827.66617331,2835637.566175,69302.04845054727,4752323.0564871775,36.50744131303124,,
,Jul,1224353.03376065,104498.09782119001,11099.30469552,256935.41694370998,25266.053874,1622151.9070950702,344687.0004,65001.689855770004,2862044.052113,63781.563496029004,4957666.212959869,40.771162088237766,,


,(a)  The balance sheet data of the Central Bank from January 2002  is based on International Accounting Standards (IAS).  Accordingly foreign securities of the Central Bank have been,,,,,,,,,,,,,,
,       valued at current market prices since January 2002.  These data prior to January 2002 are according to local books at cost or face value whichever is less.,,,,,,,,,,,,,,
,(b)  Includes securities acquired from government institutions.,,,,,,,,,,,,,,
,"(c)  According to IAS, the amount of Sri Lanka's quota with the IMF has been taken into the Central Bank's balance sheet.",,,,,,,,,,,,,,
,"(d)  According to IAS, balance sheet of the CBSL is prepared on accrual basis and receivables show interest receivables on foreign securities.",,,,,,,,,,,,,,
,"(e)  Credit provided under ""Susahana"" refinance credit scheme is included from December 2005 to December 2016. Credit support facilities under the COVID-19 Renaissance scheme is included from May 2020.",,,,,,,,,,,,,,
,"(f)  According to IAS, government and government guaranteed securities are on fair value basis since January 2002.",,,,,,,,,,,,,,


,LIABILITIES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rs. Million
,End of Period,L I A B I L I T I E S,,,,,,,,,,,,,

,,Capital,,,Currency Issue,,,,Deposits,,,,,,
,,Capital,Surplus,Total,Notes in Circulation,Coins in Circulation,Total,Securities Outstanding           (i),Government,Government Agencies and Institutions,Commercial Banks,"International Organisations, Foreign Governments & Foreign Banking Institutions ",Others,Total,Other Liabilities and Accounts
,2003 Jan,15,985,1000,82726.2,3292.8,86019,0,250,17.6,37489.8,86847,537.6,125142,91029.79999999999
,Feb,15,985,1000,83676.4,3300.6,86977,0,427.8,17.8,40145.3,91596,640.9,132827.8,82005.79999999999
,Mar,15,985,1000,88156.6,3320.1,91476.7,0,164.3,17.5,40282.6,87726.4,441.2,128631.99999999999,76273.3
,Apr,15,985,1000,88023.5,3341.3,91364.8,0,223.6,16.4,37261,102147.6,657.8,140306.4,87303.20000000004
,May,15,985,1000,87172.5,3351.2,90523.7,0,515.2,16.7,41879.7,95655,625.1,138691.7,87728.56999999995
,June,15,985,1000,85901.2,3369.8,89271,0,238.6,18.4,41436.3,100354,904.9,142952.19999999998,87878.20000000004
,July,15,985,1000,85819.6,3386.8,89206.4,0,112.4,17.6,41802.2,91771.9,573.9,134277.99999999997,85741.10000000003
,Aug,15,985,1000,87651.1,3405.7,91056.8,0,307.8,16.9,44172.1,98574.4,587.5,143658.69999999998,81101.50000000003
,Sep,15,985,1000,88144.3,3426.4,91570.7,0,255.9,17.1,43012.4,96485.6,382.5,140153.5,86334
,Oct,15,985,1000,88736.6,3449.5,92186.1,0,743.4,17.3,45523.9,103077.8,896.1,150258.5,80584.30000000002
,Nov,15,985,1000,91406.9,3474.1,94880.99,0,807.3,16.8,46091.6,96329.38,700.98,143946.06000000003,84263.94999999998
,Dec,15,985,1000,95282,3503,98785,0,568.9,19.8,42641.6,113849.4,758,157837.69999999998,96959.80000000002
,2004 Jan,15,985,1000,95419.3,3525.1,98944.4,0,584.4,19.7,46916.5,101626.9,547,149694.5,91058.50000000003
,Feb,15,985,1000,98088.2,3540.8,101629,0,561.9,20.6,45118,112323.3,792.2,158816,92759.5
,Mar,15,985,1000,113357.6,3582.6,116940.1,0,452,20.2,41698.7,117336.5,750.8,160258.19999999998,90977.60000000003
,Apr,15,985,1000,103219.2,3596,106815.2,0,573,19.7,46249.5,121139.6,769.4,168751.19999999998,86864.80000000002
,May,15,985,1000,102423.2,3602.5,106025.7,0,457.2,19.8,46139.1,100339.3,647.5,147602.9,85141.99999999997
,June,15,985,1000,102040.1,3622.4,105662.5,0,728.2,4.4,45463.3,123300.8,551.1,170047.80000000002,91344.1
,July,15,985,1000,103634.1,3639.5,107273.6,0,39.2,4.1,49041,107530.1,671.2,157285.60000000003,92834.69999999998
,Aug,15,985,1000,105268.2,3650.4,108918.6,0,515.3,4.8,46926.2,118682.7,578,166707,95023.19999999998
,Sep,15,985,1000,106095,3668.4,109763.4,0,527.8,4.5,48473.2,109718.7,497.3,159221.5,100109.4
,Oct,15,985,1000,107175.7,3690,110865.7,0,539.1,3.9,50935.8,112730.9,392.6,164602.30000000002,101778.9
,Nov,15,985,1000,108819.1,3710.7,112529.8,0,553.1,4.1,51387.6,115199.3,440.4,167584.5,109002.58000000002
,Dec,15,985,1000,112173.7,3735.3,115909,0,522.7,7.3,55051.1,132918.7,458.5,188958.30000000002,108145.19999999998
,2005 Jan,15,985,1000,114802,3752,118554,0,1254.4,7.4,56086.5,100666.3,13.6,158028.2,101319.09999999998
,Feb,15,985,1000,117634.9,3764.4,121399.3,0,1567.7,7.8,53259.2,110167.4,22.4,165024.49999999997,104164.00000000003
,Mar,15,985,1000,129993.5,3779.7,133773.2,0,1517.6,7,56974.3,115875.6,21.3,174395.8,107311.29999999999
,Apr,15,985,1000,123610.1,3799.7,127409.8,0,1945.8,7.4,54444.4,132361,37.4,188796,106951.10000000003
,May,15,985,1000,119777.1,3814.1,123591.2,0,2029.8,7.9,55596.1,109454.5,4.7,167093,87740.79999999999
,June,15,985,1000,119534.4,3833.4,123367.8,0,2243.2,7.8,56441.9,127656.8,6.3,186356,93540.79999999999
,July,15,985,1000,120301,3852.7,124153.7,0,2808.5,7.8,60485.5,126649,4.3,189955.09999999998,93858.5
,Aug,15,985,1000,122513.9,3873.7,126387.6,0,2971,7.9,57893.5,132563.2,7.8,193443.4,99804.79999999996
,Sep,15,985,1000,123107.3,3888.7,126996,0,3047.2,8.2,60889.3,127121,8.5,191074.2,104982
,Oct,15,985,1000,125890.4,3910,129800.4,0,3198.5,7.9,61370.7,167726.4,6.2,232309.7,96098.99999999994
,Nov,15,985,1000,125812,3921.8,129733.8,0,3488,8,61226.5,125299.38,48.6,190070.48,98039.92000000001
,Dec,15,985,1000,128492,3944.4,132436.4,0,919.5,12.02,65483.5,137534.9,199.3,204149.21999999997,103011.28000000003
,2006 Jan,15,985,1000,127019.9,3967.1,130987,0,1548.4,25.6,65850.5,127548.9,29.6,195003,108360.79999999999
,Feb,15,985,1000,130747.1,3989.3,134736.4,0,1130.2,25.9,68267.1,143912.5,3.3,213339,104905.69999999995
,Mar,15,985,1000,143539.2,4025.1,147564.3,0,1491.4,51.3,69553.1,141153,7.8,212256.59999999998,96388.90000000002
,Apr,15,985,1000,144902,4051.6,148953.6,0,1747.4,126.3,71065.5,142447.1,3.1,215389.4,98715.90000000005
,May,15,985,1000,136469.5,4080.2,140549.7,0,1221,27.5,71449.7,112632,12.3,185342.5,102044.79999999999
,Jun,15,985,1000,135919,4114.1,140033.1,0,1226.4,24.4,72361.1,154111,10.6,227733.50000000003,105133.09999999995
,Jul,15,985,1000,138696.4,4143.2,142839.6,0,1031,22.2,71982.9,123875.8,14.2,196926.1,104275.70000000004
,Aug,15,985,1000,140414.3,4182.7,144597,0,982.23,62.4,69235.49,154799.7,16.52,225096.34,110354.66
,Sep,15,985,1000,142194.4,4216.8,146411.2,0,1129.9,19.1,75710.1,116538.2,4.7,193402,106482.39999999997
,Oct,15,985,1000,145942.1,4248.4,150190.5,0,1156.7,19.1,75303,144859.5,10.5,221348.8,116335.90000000002
,Nov,15,985,1000,146055.85,4278.25,150334.1,0,1726.8,10.5,76282.7,133238.2,4.15,211262.35,126672.04000000001
,Dec,15,985,1000,152919,4320,157239,0,1348,8.3,82615.38,130706.18,6.6,214684.46,119926.84
,2007 Jan,15,985,1000,153166.25,4350.3,157516.55,0,1355.5,7.5,79257.8,125378.1,85,206083.90000000002,132704.05
,Feb,15,985,1000,160083.79,4375.78,164459.57,0,1256.7,7.3,77829.16,144801.55,3.95,223898.66,124390.09
,Mar,15,985,1000,168752.19,4405.13,173157.32,0,1163.13,6,79790.7,135366.98,13.42,216340.23,124212.76999999999
,Apr,15,985,1000,163674.66,4427.59,168102.25,0,1731.2,6.1,81228.57,160057,3.58,243026.44999999998,143266.45000000004
,May,15,985,1000,157170.64,4443.16,161613.8,0,1239,4,84602.63,119292.49,2.4,205140.52,132948.55000000002
,Jun,15,985,1000,155724.1,4455.4,160179.5,0,1135.5,7.5,87659.4,165646.52,5.9,254454.81999999998,128914.37999999998
,Jul,15,985,1000,158378.13,4471.82,162849.95,0,1170.3,5.7,84353.5,133655.4,6.1,219191,142325.64999999997
,Aug,15,985,1000,159683.1,4534.79,164217.89,0,1042.6,4.4,92841.44,155476.2,4.75,249369.39,138704.87
,Sep,15,985,1000,164462.9,4523.12,168986.02,0,1286.58,5.8,87723.11,131810.5,8.48,220834.47,146810.24999999997
,Oct,15,985,1000,163053.76,4537.58,167591.34,0,1274.71,3.9,88923.7,149189.3,6.4,239398.00999999998,174869.6900000001
,Nov,15,985,1000,163984.3,4559.2,168543.5,0,1558.3,2,95534.9,128378.3,2.7,225476.2,156432.8
,Dec,15,985,1000,168781.7,4581.99,173363.69,0,1413.4,2.7,91053.024,147407.2,2.263,239878.58700000003,147693.094
,2008 Jan,15,985,1000,167063.4,4599.5,171662.9,0,2067.8,2.8,88758.1,149277.9,2.3,240108.9,164279.134
,Feb,15,985,1000,171285.999,4618.098,175904.097,0,2082.911,1.2,97103.896,185459.9,5.161,284653.068,159893.82799999998
,Mar,15,985,1000,183117.108,4643.829,187760.937,7523.588,1112.3,2.3,88582.932,145087.9,6.524,242315.544,158362.87599999993
,Apr,15,985,1000,182237.488,4667.859,186905.347,0,1196.3,6.9,93288.774,153221.9,8.2,247722.07400000002,149470.51799999998
,May,15,985,1000,174857.909,4684.323,179542.23200000002,0,1209.7,6,98027.709,135604.7,12.9,234861.009,149112.208
,Jun,15,985,1000,171726.067,4694.889,176420.956,2364.242,1200.6,6.7,94784.6,167963.6,3.5,266323.242,154494.68
,Jul,15,985,1000,178819.039,4706.67,183525.709,9011.399,1109.7,4.3,97762,176693.3,5.2,284585.89900000003,148127.5949999999
,Aug,15,985,1000,176063.5,4719.5,180783,3969.9,1097.8,3.4,101789.2,206055.5,5,312920.8,137330.12900000002
,Sep,25000,0,25000,175770.433,4740.348,180510.781,0,1220.3,3.2,99700.8,150385.9,9.9,251320.1,113964.802
,Oct,25000,0,25000,172822.87,4752.972,177575.842,0,1046,17,98510,178694,3.3,278270.3,100670.23900000006
,Nov,25000,0,25000,169695.32,4771.45,174466.77,0,1213.3,15.1,79086.9,161255.7,7,241578,105889.78099999996
,Dec,25000,0,25000,181307.106,4791.808,186098.914,0,1230.5,15.1,82311.2,177294.6,7.1,260858.50000000003,126412.64399999994
,2009 Jan,25000,0,25000,173158.887,4811.059,177969.946,0,1220.5,12.9,85786.8,120193.3,2.99,207216.49,119360.20999999996
,Feb,25000,0,25000,175109.706,4828.285,179937.991,0,1210,13.4,78146,141167,5.76,220542.16,148272.3429999999
,Mar,25000,0,25000,187857.364,4850.519,192707.883,0,1206.2,13,73630.1,108101.5,4.5,182955.3,161856.97500000003
,Apr,25000,0,25000,186473.097,4868.808,191341.905,0,1297.1,12.9,69821.8,118895.7,3.9,190031.4,154992.031
,May,25000,0,25000,185052.396,4886.852,189939.24800000002,0,1422.9,13.1,78650.7,107088.29999999999,5,187180,160998.87599999993
,Jun,25000,0,25000,180430.704,4910.503,185341.207,0,1585,14,77206,119188,3.751,197996.751,168859.14899999998
,Jul,25000,0,25000,182781.908,4931.692,187713.6,0,1549,18,87860,144471,2.498,233900.498,169937.18900000004
,Aug,25000,0,25000,187060.065845,4957.485353,192017.551198,0,1593,15,84564,232258,3.161,318433.161,179754.70997899998
,Sep,25000,0,25000,187089.576725,4981.2732,192070.849925,0,1481,14,82436,274408,7.066,358346.066,172562.389525
,Oct,25000,0,25000,192103.13628,5113.561805,197216.698085,59468.637262,2004,17,91597,271011,4.460231,424102.097493,168187.16819400003
,Nov,25000,0,25000,195391.737412,5229.047223,200620.784635,68071.456807,1954,17,87527,300931,3.782204,458504.23901099997,160820.3771900001
,Dec,25000,0,25000,212172.657658,5257.175886,217429.83354400002,78799.653732,2326,22,86086,273481,2.834162,440717.487894,138725.4396719999
,2010 Jan,25000,0,25000,215965.787062,5271.722522,221237.50958399998,72565.29388,2313,26,87926,298907,5.278515,461742.572395,167845.321658
,Feb,25000,0,25000,215860.240795,5289.051651,221149.29244599998,93312.593035,2241,46,89614,355271,7.261814,540491.854849,144664.61147499993
,Mar,25000,0,25000,234930.906,5315.471,240246.37699999998,76780.179079,2196,45,88561,240839,5.364737,408426.54381600005,160349.52351000003
,Apr,25000,0,25000,239289.259986,5356.521154,244645.78113999998,91757.473314,2194,48,80311,285081,4.412467,459395.885781,156412.70022999996
,May,25000,0,25000,230681.535316,5397.373696,236078.909012,81681.114774,2209,22,94507,245162,8.522695,423589.637469,138784.1423410001
,Jun,25000,0,25000,227086.713581,5439.536795,232526.25037599998,82783.242489,2730,22,90358,322898,5.466119,498796.70860799996,135208.46709000005
,Jul,25000,0,25000,227569.6049497,5477.913341,233047.5182907,71697.701432,2735.263437,2.707,98762.946417,330926.16809299996,9.505717,504134.29209599993,159031.24571529997
,Aug,25000,0,25000,236310.922543,5512.74979,241823.672333,89121.99599,2682,3,94971,399117,7.593384,585902.589374,164199.50706600002
,Sep,25000,0,25000,237796.029004,5543.881361,243339.91036500002,75745.232301,2518,3,95128,344730,11.3236,518135.555901,188939.39006399998
,Oct,25000,0,25000,239401.720116,5581.500124,244983.22024000002,48534.00862,2507,3,103449,402291,8.355589,556792.364209,229538.71727799985
,Nov,25000,0,25000,241653.779256,5621.029998,247274.80925400002,0,2688,9,96807,378991,5.611147,478500.611147,260180.1136990001
,Dec,25000,0,25000,249976.795891,5675.420917,255652.216808,95054.890849,3083,6,104853,357069,5.695425,560071.5862740001,144682.74062199984
,2011 Jan,25000,0,25000,247498.604322,5724.548814,253223.153136,0,3056,27,109636,352265,6.556064,464990.556064,240777.19385699998
,Feb,25000,0,25000,257631.143007,5778.652106,263409.79511300003,0,3413,22,102652,394507,5.673271,500599.673271,220513.96146499988
,Mar,25000,0,25000,277036.484791,5833.241103,282869.72589400003,0,3528,7,99263,377078,8.128558,479884.128558,226296.57945299993
,Apr,25000,0,25000,283527.343249,5878.257297,289405.600546,0,3506,8,116041,418045,4.429273,537604.429273,210506.32906999998
,May,25000,0,25000,269124.178828,5927.329979,275051.50880699995,0,3468,7,124969.750047,394533,4.104224,522981.854271,207096.41159499995
,Jun,25000,0,25000,265067.84603,5969.581488,271037.427518,0,3840,7,126149.769839,568146,4.290186,698147.060025,210302.83955200005
,Jul,25000,0,25000,269711.873414,6007.888427,275719.761841,0,3435,7,137445.011747,537891,6.686288,678784.698035,228426.66073500004
,Aug,25000,0,25000,279313.52414,6036.827081,285350.351221,0,3398,6,134580.287425,617844,4.976811,755833.264236,226597.81366999994
,Sep,25000,0,25000,277853.621166,6066.13133,283919.75249600003,0,953,1,138356.752943,535211,3.637338,674525.390281,174914.8538269999
,Oct,25000,0,25000,283258.419827,6093.890223,289352.31005000003,0,936,7,136100.121582,557147,3.949059,694194.070641,200579.78631899995
,Nov,25000,0,25000,278339.973529,6124.554347,284464.52787600004,0,1056,2,135878.785032,490494,3.329849,627434.114881,203303.153331
,Dec,25000,0,25000,287080.496087,6152.864418,293233.360505,0,1797,2,146269.185101,498543,4.383103,646615.568204,176868.271421
,2012 Jan,25000,0,25000,284673.312887,6227.798269,290901.111156,0,965,2,143995.770316,513532,2.788718,658497.559034,198946.9123539998
,Feb,25000,0,25000,290452.446679,6288.700681,296741.14736,0,957,1,142663.92921,561022,5.063733,704648.9929429999,219348.42124099995
,Mar,35000,0,35000,308980.955604,6382.526756,315363.48236,0,964,1,155781.777067,534854,4.582699,691605.3597660001,219941.446657
,Apr,35000,0,35000,303090.876587,6438.457808,309529.33439499995,0,964,446,139331.457884,650952,3.391923,791696.849807,227033.67096600006
,May,35000,0,35000,294271.120308,6495.550834,300766.671142,0,925,4,148708.933221,584510,3.08652,734151.019741,228496.59349300002
,Jun,35000,0,35000,290775.763789,6547.765876,297323.529665,0,859,4,160198.889573,697716,3.300877,858781.19045,201183.76283700007
,Jul,35000,0,35000,296487.769859,6607.150594,303094.920453,0,783,4,160313.86603,739136,2.968231,900239.834261,249520.40078500018
,Aug,35000,0,35000,303710.629315,6676.400073,310387.029388,0,740,3,162559.915313,718799,3.726901,882105.642214,219052.42257099994
,Sep,35000,0,35000,300217.1514027,6743.80159363,306960.95299633,0,689,4,166177.134452,711287,5.098146,878162.232598,214164.69103366998
,Oct,35000,0,35000,299261.325679,6797.685343,306059.011022,0,650,4,165053.446249,624335,3.181833,790045.6280820001,208400.96722600004
,Nov,35000,0,35000,297886.974287,6852.407176,304739.381463,0,749,4,172147,582407,3.778994,755310.778994,206543.29087099992
,Dec,35000,0,35000,311151.6073847,6908.534113,318060.14149769995,0,686,14,166288.377889,569454,4.253043,736446.630932,194941.13813029998
,2013 Jan,35000,0,35000,302430.171266,6947.462591,309377.63385700004,0,710.328505,13.339,174705.022832,567986.4788960001,6.061141,743421.230374,214159.74644100002
,Feb,35000,0,35000,305020.108616,6987.578032,312007.686648,0,640.9572139999999,13.705,174706.832,585732.935266,3.8718,761098.3012799999,185421.26345400012
,Mar,35000,0,35000,325213.839529,7047.155652,332260.995181,0,575.772528,1.509,180133.406645,550946.8140411032,3.902491,731661.4047051033,181486.4786018968
,Apr,35000,0,35000,321375.456049,7087.885356,328463.34140499996,0,484.538355,2.613,171821.684716,583727.2617260001,4.400463,756040.4982600001,155306.45473799994
,May,35000,0,35000,311334.778832,7110.098855,318444.877687,0,444.02657899999997,2.504,188763.921402,556757.637874,3.143961,745971.233816,126486.40341999999
,Jun,35000,0,35000,305885.8411307,7138.25936222,313024.10049292,0,467.709701,2.682,187274.437843,554677.0479967326,5.453873,742427.3314137326,96586.27115934738
,Jul,35000,0,35000,309793.4443757,7172.1150904,316965.5594661,0,498.238267,9.824,139130.649325,545477.075517,3.523583,685119.310692,113082.20962990006
,Aug,35000,0,35000,316414.4823107,7207.55143724,323622.03374794,0,462.067843,0.974,142960.91039,579766.26416,3.535705,723193.752098,140422.42688206
,Sep,35000,0,35000,315648.8762027,7237.21238934,322886.08859204,0,74.780997,15.471,142841.136488,527493.603441212,22.5484,670447.540326212,175581.343554748
,Oct,35000,0,35000,317802.3989687,7271.24496893,325073.64393763006,0,51.15446,1.42,141776.57331,578368.4163449999,7.264722,720204.828837,188698.46544836985
,Nov,35000,0,35000,316402.9784237,7325.18331339,323728.16173709003,0,307.191525,0.995,148268.100909,514621.283971,3.781926,663201.3533310001,161709.3487339099
,Dec,35000,0,35000,332382.0057517,7388.97471877,339770.98047047004,0,411.491083,4.7393,148809.893158,529238.2890812997,4.974925,678469.3875472996,192767.1584992304
,2014 Jan,35000,0,35000,328417.1017517,7426.40161876,335843.50337046,0,426.460003,21.581,149314.696183,582442.7213533182,3.58471,732209.0432493181,253826.46857822186
,Feb,35000,0,35000,333518.3952217,7464.02531954,340982.42054124,0,478.845784,14.506,153618.32297,528274.163217043,5.385343,682391.223314043,319899.49525471707
,Mar,35000,0,35000,363116.5788197,7532.32745002,370648.90626972,0,618.24059,15.5297,150887.945101,550507.66388786,5.52349,702034.9027688601,282524.4619484199
,Apr,35000,0,35000,353845.4096597,7585.5631587,361430.9728184,0,533.035014,12.418,153895.822449,606668.85116391,5.481007,761115.6076339099,339376.41558169015
,May,35000,0,35000,347503.2882657,7626.12803029,355129.41629599,0,491.61751,12.3897,144357.672199,555957.76225849,6.456871,700825.89853849,372750.64241752017
,Jun,35000,0,35000,348767.5686557,7670.57659469,356438.14525039,0,932.791396,12.255,151216.220071,546553.84385734,7.579434,698722.68975834,378655.91656527005
,Jul,35000,0,35000,364331.9200832,7734.20849111,372066.12857431,0,4751.929556,12.233,152427.30002,528353.42526553,4.922535,685549.81037653,419736.5980471601
,Aug,35000,0,35000,366261.3937842,7777.55224413,374038.94602833,0,345.660222,1.7332,158014.722749,474808.00983005,7.067959,633177.19396005,481432.2062296198
,Sep,50000,0,50000,368980.1791592,7831.4840958,376811.663255,0,7460.568377,8.179,160067.684884,442417.77333415,47.846226,610002.05182115,415047.4739738499
,Oct,50000,0,50000,374540.0525442,7887.8198169,382427.8723611,0,305.586206,8.53,165237.905387,464387.8664395499,3.455844,629943.3438765499,436523.6732873501
,Nov,50000,0,50000,384460.2785092,8028.57942429,392488.85793349,0,316.59231700000004,8.559539,159352.520497,417488.10153416,8.490206,577174.26409316,435038.44829834986
,Dec,50000,0,50000,408773.1361292,8122.22562635,416895.36175554997,0,304.648331,7.302,161009.323174,441987.39576801006,5.350129,603314.01940201,394085.88681831013
,2015 Jan,50000,0,50000,404330.8627742,8190.24116935,412521.10394354997,0,323.948883,7.39,163576.055834,407846.6338679299,2.335649,571756.3642339299,357481.9265316201
,Feb,50000,0,50000,410730.7819842,8282.99709408,419013.77907828003,0,263.710149,2.161142,163938.270271,438044.66080810997,3.624713,602252.42708311,350811.9050435098
,Mar,50000,0,50000,447393.9781892,8417.02456618,455811.00275538,0,321.568977,7.233369,163742.431101,394160.73205969995,3.57636,558235.5418666999,247556.41249987995
,Apr,50000,0,50000,440607.0509322,8532.88502717,449139.93595937,0,208.056424,2.976709,163512.428307,536125.5839489199,6.515591,699855.5609799199,188087.35969871026
,May,50000,0,50000,429167.6633912,8628.21357694,437795.87696814,0,193.312807,3.893,152012.345333,427965.2340070275,8.384984,580183.1701310276,160952.8050930699
,Jun,50000,0,50000,429752.5997212,8738.82876752,438491.42848872003,0,313.361807,2.394,169551.305961,542267.89441133,4.296232,712139.25241133,116308.11848190997
,Jul,50000,0,50000,447083.6926642,8878.11835935,455961.81102355,0,501.989217,52.526946,174317.166003,451774.38969445997,7.76887,626653.84073046,102462.01567766
,Aug,50000,0,50000,455023.3470502,9006.54735775,464029.89440795,0,474.781982,14.136782,173182.482078,494847.31650615006,6.347521,668525.06486915,56535.664155000006
,Sep,50000,0,50000,456425.5684402,9213.02758894,465638.59602914,0,518.749965,7.155133,174845.648128,594234.04701094,15.741181,769621.34141794,110817.81649973977
,Oct,50000,0,50000,455989.3221882,9393.4459826,465382.7681708,0,469.065928,4.006888,179027.717236,548127.1986607601,110.016259,727738.0049717601,132012.23842947
,Nov,50000,0,50000,456827.9545732,9533.417344564,466361.371917764,0,297.475948,535.894,184228.114155,553055.33426399,6.472483,738123.2908499901,178782.21724646573
,Dec,50000,0,50000,481969.4174282,9730.53124103,491699.94866923004,0,422.998801,5.143688,181726.731701,550504.1865814,3.075694,732662.1364654,151896.56246931013
,2016 Jan,50000,0,50000,472960.5481682,9846.43591969,482806.98408789,0,302.959083,6.634007,235747.813761,491510.6480342301,13.104588,727581.1594732301,145719.23793285736
,Feb,50000,0,50000,481225.7191782,9978.05242544,491203.77160364,0,353.7098974,153.6385416,247978.972038,612305.1709865001,12.908157,860804.3996205,108003.41113240796
,Mar,50000,0,50000,533268.3011882,10208.10818859,543476.40937679,0,400.312005,6.836439,248134.902153,584621.0517510899,5.086186,833168.18853409,85356.60947115009
,Apr,50000,0,50000,511829.267473,10370.876355,522200.143828,0,278.73664807,6.62946293,240895.180253,568271.34796646,4.526382,809456.4207124601,90010.5511092078
,May,50000,0,50000,496789.901518,10469.26484681,507259.16636481,0,482.005879,6.596407,226002.387834,510931.3896444001,6.0659,737428.4456644001,87548.20026245795
,Jun,50000,0,50000,496946.840202,10596.647359,507543.487561,0,466.85722707,6.41353293,249609.428798,454217.73359468003,3.586949,704304.0201016801,103803.25129391009
,Jul,50000,0,50000,506912.060842,10693.196702,517605.257544,0,353.46299783,5.40963317,256885.024318,650021.9277298698,4.944684,907270.7693628699,88972.44847870804
,Aug,50000,0,50000,510851.766037,10789.749738,521641.515775,0,318.3580266,5.6506084,264043.884614,719959.7560934401,4.260729,984331.91007144,102001.06851765979
,Sep,50000,0,50000,513303.575132,10911.464336,524215.039468,0,421.95904702,16.70046198,269504.642305,554233.92985401,4.667766,824181.89943401,93145.00681876997
,Oct,50000,0,50000,509259.5963072,11039.65991206,520299.25621926,0,360.28950008,16.67029792,272440.471126,520390.87331305,15.737235,793224.04147205,91924.91318338003
,Nov,50000,0,50000,507408.320058,11184.614346,518592.934404,0,298.27021808,16.03515892,280359.090909,480960.37804844,4.148925,761637.92325944,97958.81839566992
,Dec,50000,0,50000,541459.6519782001,11318.213489579999,552777.86546778,0,333.30183608,117.58178892,303251.290266,491220.93458258,3.866964,794926.9754375801,131505.25621097488
,2017 Jan,50000,0,50000,523030.0827082,11452.86046902,534482.94317722,0,345.93066036,17.09764964,293969.055126,452063.0204703697,11.11959,746406.2234963698,124648.371491055
,Feb,50000,0,50000,534237.8236432,11557.1188915,545794.9425347,0,276.71972836,17.19514964,301816.099122,513439.92560947005,8.545744,815558.4853534701,89952.67823116505
,Mar,50000,0,50000,572268.5646182,11801.263299,584069.8279171999,0,248.56913035999997,17.30272864,308076.603317,368069.44796535664,6.451675,676418.3748163566,104784.94072028529
,Apr,50000,0,50000,568151.676858,11914.490942,580066.1677999999,0,404.4646956,16.1418314,305477.375687,367646.82341040997,18.014196,673562.81982041,93592.46242034482
,May,50000,0,50000,548549.423096,12023.057773,560572.480869,0,306.0364246,15.7518314,299205.820009,596348.7595704801,9.107425,895885.4752604802,98316.83524914482
,Jun,50000,0,50000,550654.9829962,12115.1672943,562770.1502905,0,194.9797826,14.7608314,328854.267846,687642.78086153,3.632484,1016710.4218055299,107895.88065081555
,Jul,50000,0,50000,553234.1588112,12216.92719015,565451.08600135,0,258.04668899999996,15.7925,329163.279462,578940.9997095095,3.965574,908382.0839345097,109996.65931500471
,Aug,50000,0,50000,569374.5399812,12320.0221816,581694.5621628,0,308.30588584000003,12.60378416,329682.27952,572713.87886653,5.020406,902722.08846253,139650.3401088002
