<new sheet>
sheet_name: Banking Industry

Table4.1 : Annual Statistics of the Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Item,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,Q1 2021*,Q2 2021*,Q3 2021*,2021 *
"Assets and Liabilities, Rupees Million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Assets,703178.54366,779519.88859276,944450.5800843401,1018905.3367144995,1099219.3661899997,1265309.7610388403,1463994.497295,1780954.562,2142164.004,2504201.1300000004,2697449.701,3013256.4103213,3550515.442,4252233.686000001,5098219.340000001,5941472.709000001,6971832.4070000015,8077474.111,9046583.446,10292397.388,11793991.691,12522707.253,14666263.666,15329698.320000002,15857282.914,16494020.265,16923563.757
2,Gross Loans and Advances(a),372525.83113999997,435590.33999943995,523620.10829268006,593327.5146198928,606349.73028,674567.53566784,815778.2411499999,1002578.0659999999,1289764.0490448,1534098.3585887998,1634806.6984837998,1596446.1694498998,1975360.1016479998,2601172.6985919,3149325.7670488,3426558.111781,3894545.0907819998,4715290.439514,5540751.4852,6430920.113264799,7693393.5906388,8122439.182584,9202141.337000003,9763029.224000001,9996226.3022096,10355199.550535899,10479665.866351865
3,Net Loans and Advances(b),349105.611,404194.10646648007,489224.75138215994,555695.5405598928,564543.7031,627939.1263489999,766955.6367949999,955178.657,1245325.5290448,1490392.6145888,1585633.1814838,1538405.4184498999,1926838.1076480001,2555486.3325919,3100991.0650488003,3364477.6187810004,3828861.976781999,4643671.205514,5466601.6872,6351193.8122648,7579910.2036387995,7960669.954584001,8970392.037999999,9515421.531,9733512.930209601,10073843.606535902,10179965.925351866
4,Gross Non-performing Advances(a),54935.62896,68716.8749126,71324.67616262,90526.48904,86921.69842000002,83167.24956000001,74947.5496,70701.128,72567.629,79064.35800000001,103270.58700000003,135579.3743213,107043.921,99297.26300000002,116635.36800000003,191032.59799999997,165473.55,152811.73200000002,142348.93399999998,160672.205,263146.1099999999,381688.284,448061.823,449242.116,499969.9779999999,498868.068,468148.5619999999
5,Net Non-performing Advances(b),31515.408820000004,37320.64137964,36929.3192521,52894.51498,45115.671239999996,36538.84024116,27165.803245,24154.785,28129.109000000004,35358.614,54097.06999999999,77538.6233213,58521.926999999996,53610.897,68300.66600000001,128952.105,99790.436,81192.498,68199.13600000001,80945.90400000001,149662.723,219919.05599999995,216312.52400000003,201634.42300000004,237256.60599999997,217512.124,168448.621
6,Specific Provision for Bad and Doubtful Advances,23420.220139999998,31396.233532959996,34395.35691052,37631.97406000001,41806.02718,46628.40931884,47781.746355,46546.343,44438.520000000004,43705.744000000006,49173.517,58040.751000000004,48521.994000000006,45686.365999999995,48334.702,62080.493,65683.114,71619.23400000001,74149.798,79726.301,113483.387,161769.22800000003,231749.29899999997,247607.69299999997,262713.37200000003,281355.94399999996,299699.941
7,Investments,152690.32322,170139.039891,205731.603,233996.45919999998,309486.53969999996,389446.31190000003,403144.469135,442646.054,487804.09199999995,552230.6880000001,673458.7939999999,929216.547,1080858.629,1057143.674,1218064.8,1694950.412,1927548.8169999998,2347596.329,2270532.921,2554383.7560000005,2671557.9519999996,2996674.3939999994,4195762.039,4327043.348999999,4436005.334,4498921.526,4885642.617
8,Risk Weighted Assets(c),364000.36,402173.9049999999,442112.262,443050.191,465865.993,605378.979,717434.7490000001,858852.0829999999,1131031.659,1357132.796,1571384.3997999998,1526979.8617387763,1814956.8849999998,2268964.0519999997,2601094.866,2942133.0490000006,3498306.47,4291298.384000001,5058816.322000001,5712808.4399999995,6787197.462,7143741.990999999,7665631.492999999,7831288.325198399,8122765.819999999,8330710.636,8240088.698
