<new sheet>
sheet_name: Capital Adequacy Ratios

,Banking Sector ,,,,,,,,
Code,"Capital Adequacy, %",2022,,,,2023,,,
,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
A1,Capital Adequacy Ratio (a),15.141086638413062,15.201594966664073,15.291553283700846,16.109199634943884,16.52557124457676,16.691838735780294,,
A2,Tier 1 Capital Ratio (b),12.070342238239695,12.24070795152333,12.43699716119293,13.144442753177907,13.523135635466277,13.703698546047535,,
,Common Equity Tier 1 Ratio(c),11.74929765981153,11.933061401086546,12.123436487917624,12.824235457118755,13.18899673167584,13.365833422983103,,
A3,Tier 1 Capital to Total Assets Ratio,7.781671776460895,7.595359141404498,7.847611346504616,8.230600524957566,8.534939325362371,8.60129529268777,,
A4,Equity Capital & Reserves to Total Assets Ratio,7.781671776460895,7.595359141404498,7.847611346504616,8.230600524957566,8.534939325362371,8.60129529268777,,
A5,Stage 3 Loans(d) to Equity Capital & Reserves,66.15984343497695,71.23127225555126,81.50758567929715,82.21758674341807,85.59239297985101,85.07808863856003,,
A6,Net Stage 3 Loans(e) to Equity Capital & Reserves,36.62341069736591,40.25012285022706,46.47936029665017,43.997311213956195,46.42765867571186,47.99074384481802,,


,Licensed Commercial Banks,,,,,,,,
,"Capital Adequacy, %",2022,,,,2023,,,
,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
,Capital Adequacy Ratio (a),14.838159514968158,14.909418656443313,15.120784530286786,15.99770839019514,16.424016393657826,16.58649457042988,,
,Tier 1 Capital Ratio (b),11.781443354752163,11.991260367445228,12.282488783302233,13.012765704212864,13.429200737697721,13.622726268401447,,
,Common Equity Tier 1 Ratio(c),11.495207908511587,11.718076841950483,12.00354889506579,12.727956746598709,13.131775941343,13.322935639655448,,
,Tier 1 Capital to Total Assets Ratio,7.990841335809154,7.823551046735673,8.138023471769547,8.56272496217553,8.912266739578909,8.974438380828625,,
,Equity Capital & Reserves to Total Assets Ratio,7.990841335809154,7.823551046735673,8.138023471769547,8.56272496217553,8.912266739578909,8.974438380828625,,
